date      ,title
2018-02-15,"""Як би свині не верещали"": у Раді відповіли Савченко на ""особливий статус"" для всієї України"
2018-02-15,"Бажання Кремля: Савченко виступила за ""особливий статус"" для всіх регіонів України"
2018-02-12,"Губернатор Савченко про ремонт у школах: дівчата будуть робити селфі, коли падає мило"
2018-02-09,"""А мене критикували!"" Савченко натякнула на переговори Києва з ""Л/ДНР"""
2018-02-07,"""Зерна від полови"": Савченко виправдалася за відмову від ""реінтеграції Донбасу"""
2018-02-06,"Савченко, яка їздила до ватажків ""Л/ДНР"", голосувала за скасування ""реінтеграції Донбасу"""
2018-02-03,"""Кого ти захищав?"" Російському письменнику дісталося через опальну Савченко"
2018-01-30,"Почалося затемнення: Савченко в ""гамівній сорочці"" похвалилася зарплатою"
2018-01-30,"Скоро вийде по ""закону Савченко"": суд дав 8 років антимайданівцю ""Топазу"""
2018-01-29,"""Кидайте каміння!"" Савченко заявила, що знову стане героєм для українців"
2018-01-29,ФІФА відбере Чемпіонат світу у Росії? Савченко зробила гучну заяву
2018-01-24,"""Нехай навчиться читати і писати"": Гриценко жорстко висловився про Савченко"
